AEECLSID_REMOTEMSGQ,0x01032612,system,componentservices
AEECLSID_BlockSeedSW,0x0102d180,system,componentservices
AEECLSID_OATPERFAPPLETCTL_KERNEL,0x01075a43,system,brewcore
AEECLSID_OATvCalStoreNOPL,0x01065051,databases,vcard
AEECLSID_IIMAGE_GETDIMFROMHDR,0x01094b38,media,imagedecoders
AEECLSID_SimDisplayDev1_4,0x010747e8,system,brewcore
AEECLSID_SimDisplayDev1_2,0x010747e6,system,brewcore
AEECLSID_UNZIPSTREAM,0x01001014,system,brewcore
AEECLSID_SimDisplayDev1_1,0x010747e5,system,brewcore
AEECLSID_BlockAES256SW,0x01039ad5,system,componentservices
AEECLSID_LOCALEACTOR,0x01038b5c,apps,softkeyappsuite
AEECLSID_BTCNXNSINGLETON,0x01072fcb,apps,softkeyappsuite
AEECLSID_ContactStoreTest2,0x01091d02,databases,pim
AEEIID_BEARERTECHNOLOGY,0x01046312,deprecated,headers
AEECLSID_ConstraintContainer,0x010551c4,ui,widgets
AEECLSID_GridWidget,0x01054a8d,ui,widgets
AEECLSID_BlockDESHW,0x0102cccd,system,componentservices
AEEIID_INetworkGoDormant,0x0108a3ee,system,brewcore
AEECLSID_MEMPOOL,0x010451b5,deprecated,isqldbcshim
AEECLSID_OATMediaSPFApp,0x0108aac0,media,multimedia
AEECLSID_SHA256Ctx,0x0102a792,system,componentservices
AEECLSID_VOICEMAIL,0x01032cf1,apps,softkeyappsuite
AEECLSID_UTFlashAMCBG,0x01087e93,languages,flash
AEECLSID_UIMDBFDN,0x01075c19,databases,icontacts
AEECLSID_FLASH_BASICAPP,0x0107c269,tools,multi-platform-samplecode
AEECLSID_OATADDRBOOKAPP,0x0107c9ac,deprecated,iaddrbookshim
AEECLSID_AEEDEBUGAPP,0x01037035,system,brewcore
AEECLSID_GRIDWIDGET_1,0x01028e1d,ui,widgets
AEEIID_IParametersRO,0x0102d13c,system,componentservices
AEECLSID_SHA384Ctx_SIZE,0x000000d0,system,componentservices
AEECLSID_HMAC_SHA1,0x0100104b,system,brewcore
AEECLSID_ACTORFRAMENODEMODELBASE,0x01034756,languages,platformactors
AEECLSID_LOCALEIT,0x010311e4,system,locales
AEECLSID_BACKLIGHT_DISPLAY3,0x0103035e,hardware,backlight
AEECLSID_VIDEOPHONE_MODEL,0x0102da94,telephony,staticextensions
AEECLSID_BLOCK_DES_HW,0x0102cccd,deprecated,legacybrewcrypto
AEECLSID_OATQOSSESSION,0x0102f8df,system,brewcore
AEECLSID_TRIG,0x0102e03d,languages,trigplayer
AEECLSID_MODMOVERTEST_CLEAR,0x0108bdcc,security,modulemanager
AEECLSID_LOCALEID,0x010311e3,system,locales
AEECLSID_SockPortDebugSetService,0x01070a4c,system,brewcore
AEECLSID_FONT_STANDARD26,0x0102f67f,ui,fonts
AEEIID_IGridContainer,0x01030226,ui,widgets
AEECLSID_LOCALERU,0x010311ed,system,locales
AEECLSID_PREFS_SERVICE,0x0103cea2,system,brewcore
AEECLSID_OATFSAPPFRAME,0x01075783,system,brewcore
AEECLSID_BTILAPP,0x0101730f,deprecated,isqldbcshim
AEECLSID_OATRAMCACHE,0x010434cb,system,brewcore
AEECLSID_ICONTACTSTest,0xdeadd00d,databases,icontacts
AEECLSID_SSL_101,0x01032176,security,ssl
AEECLSID_SysLarge,0x0108c390,apps,mam
AEECLSID_REGISTRY,0x0100103e,system,brewcore
AEECLSID_ctfcallhistsanitytest,0x0108c15b,databases,pim
AEECLSID_SHELLACTOR,0x0102eea2,apps,mam
AEECLSID_MediaAMR,0x0100550e,media,multimedia
AEECLSID_BBFEVERSION,0x0105a1f5,ui,fonts
AEECLSID_PointerLog,0x0108ac18,system,brewcore
AEECLSID_OATEVDODATASESSION,0x01054309,system,brewcore
AEECLSID_SettingsCore,0x0106d7cd,system,settings
AEEIID_IAddrInfo,0x01036e17,networking,networking
